id,success_prob
0,0.4683527096777945
1,0.4360214029900303
2,0.596310685978728
3,0.0036053006013051156
4,0.8106456782606749
5,0.5231782785181711
6,0.3422970614313948
7,0.766086994549473
8,0.8536300156109607
9,0.33925204210138576
10,0.6019528026054733
11,0.4415153433509042
12,0.22644672530135793
13,0.41809672450856683
14,0.21689555995046955
15,0.5721046792083562
16,0.41996578870961454
17,0.5101200486830874
18,0.22319557725364084
19,0.40113775429873905
20,0.22008810312912946
21,0.6084050350945285
22,0.4199439341087315
23,0.5619783947906025
24,0.550208681042209
25,0.27315894774022675
26,0.002420515646166238
27,0.3859024270584112
28,0.33329262012880856
29,0.002079077250092627
30,0.0074918725845598945
31,0.9741495486436005
32,0.27123642774769563
33,0.002710948121303594
34,0.4283274539784408
35,0.38477237563039834
36,0.7480195728783265
37,0.007649630368339384
38,0.3900610728527042
39,0.6420537530775923
40,0.4958431182725258
41,0.287909601627921
42,0.6998044952545187
43,0.494850799211817
44,0.4051305757178915
45,0.8009765261663071
46,0.39190156832950035
47,0.3704446357137634
48,0.6980510593875198
49,0.6786935924370203
50,0.4234938170734834
51,0.26137674044646136
52,0.4305547621291111
53,0.4495576163959685
54,0.5553693734450226
55,0.29165962902975906
56,0.4985277525084822
57,0.3691610817924821
58,0.38460927706975767
59,0.431337292583872
60,0.0025004422485114643
61,0.5686113256496197
62,0.6411622928587959
63,0.2987388497644843
64,0.8875255489212902
65,0.3795415579018247
66,0.5455535731454481
67,0.004456949535007391
68,0.5426174060126623
69,0.5803605915187424
70,0.8895715095583826
71,0.28937594825423035
72,0.5969212203720582
73,0.5222726261705295
74,0.7671119555499707
75,0.24842866323966512
76,0.00793499073172425
77,0.32835143508819253
78,0.4531464443574588
79,0.8673409812990911
80,0.6931960018074458
81,0.4596431737523382
82,0.6345177843505733
83,0.5452736938722895
84,0.5870256906553614
85,0.39721779656703743
86,0.258435273466019
87,0.346711383874455
88,0.6838332395957742
89,0.30226349352339066
90,0.0030604471155224132
91,0.720671778189006
92,0.7625793265135534
93,0.838881299013557
94,0.4651093859608171
95,0.40552665171032515
96,0.46817950957807336
97,0.5417160731445123
98,0.6776362320775995
99,0.568384900028473
100,0.5732288753421582
101,0.31853500330002277
102,0.4150703200549561
103,0.6154509613631733
104,0.2823527569857275
105,0.34834041953456724
106,0.2548827439284206
107,0.5403445821228371
